query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_264627_temporal_spatial,264627,2,2,0.0345274706691533,0.0345274706742499
tokyo_267704_relational_after,267704,1,48,1,1
tokyo_267704_semantic,267704,1,48,1,1
tokyo_267704_temporal_spatial,267704,1,48,1,1
tokyo_26786_relational_after,26786,1,256,1,1
tokyo_26786_semantic,26786,1,256,1,1
tokyo_26786_temporal_spatial,26786,1,256,1,1
tokyo_277915_relational_after,277915,1,40,1,1
tokyo_277915_semantic,277915,1,40,1,1
tokyo_277915_temporal_spatial,277915,1,40,1,1
tokyo_280210_relational_after,280210,1,63,1,1
tokyo_280210_semantic,280210,1,63,1,1
tokyo_280210_temporal_spatial,280210,1,63,1,1
tokyo_281448_relational_after,281448,1,35,1,1
tokyo_281448_semantic,281448,1,35,1,1
tokyo_281448_temporal_spatial,281448,1,35,1,1
tokyo_283450_relational_after,283450,1,72,0.973105318872879,0.973105318859578
tokyo_283450_relational_after,283450,2,2,0.0268946811271215,0.0268946811404224
tokyo_283450_semantic,283450,1,72,0.971812994838189,0.971812994813994
tokyo_283450_semantic,283450,2,2,0.0281870051618111,0.0281870051860059
tokyo_283450_temporal_spatial,283450,1,72,0.971216074181018,0.971216074157935
tokyo_283450_temporal_spatial,283450,2,2,0.0287839258189819,0.0287839258420648
tokyo_286142_relational_after,286142,1,19,0.90766606987506,0.907666069857692
tokyo_286142_relational_after,286142,2,2,0.0923339301249403,0.0923339301423074
tokyo_286142_semantic,286142,1,19,0.903220208957437,0.90322020894214
tokyo_286142_semantic,286142,2,2,0.0967797910425631,0.09677979105786
tokyo_286142_temporal_spatial,286142,1,19,0.906373369590549,0.906373369573783
tokyo_286142_temporal_spatial,286142,2,2,0.0936266304094513,0.0936266304262165
tokyo_286382_relational_after,286382,1,21,0.913909222698074,0.913909222686423
tokyo_286382_relational_after,286382,2,2,0.0860907773019261,0.0860907773135771
tokyo_286382_semantic,286382,1,21,0.911598335730359,0.911598335719784
tokyo_286382_semantic,286382,2,2,0.0884016642696407,0.0884016642802156
tokyo_286382_temporal_spatial,286382,1,21,0.916290739972743,0.916290739959983
tokyo_286382_temporal_spatial,286382,2,2,0.0837092600272574,0.0837092600400174
tokyo_28664_relational_after,28664,1,2,0.0355042692119366,0.0355042692202863
tokyo_28664_relational_after,28664,2,50,0.895085742553721,0.895085742531482
tokyo_28664_relational_after,28664,3,4,0.0694099882343429,0.069409988248232
tokyo_28664_semantic,28664,1,2,0.0360575309804156,0.0360575309965997
tokyo_28664_semantic,28664,2,50,0.890976268950666,0.890976268910016
tokyo_28664_semantic,28664,3,4,0.0729662000689184,0.0729662000933847
tokyo_28664_temporal_spatial,28664,1,2,0.0362336571922889,0.036233657208309
tokyo_28664_temporal_spatial,28664,2,50,0.891052044862416,0.891052044821695
tokyo_28664_temporal_spatial,28664,3,4,0.0727142979452954,0.0727142979699962
tokyo_28697_relational_after,28697,1,37,1,1
tokyo_28697_semantic,28697,1,37,1,1
tokyo_28697_temporal_spatial,28697,1,37,1,1
tokyo_290806_relational_after,290806,1,2,0.0569939219047682,0.0569939219098961
tokyo_290806_relational_after,290806,2,2,0.0565908037692401,0.0565908037844447
tokyo_290806_relational_after,290806,3,32,0.886415274325992,0.886415274305659
tokyo_290806_semantic,290806,1,2,0.0564312522603685,0.0564312522660205
tokyo_290806_semantic,290806,2,2,0.0562677412108455,0.056267741226351
tokyo_290806_semantic,290806,3,32,0.887301006528786,0.887301006507628
tokyo_290806_temporal_spatial,290806,1,2,0.055097240160785,0.0550972401676794
tokyo_290806_temporal_spatial,290806,2,2,0.055351014125432,0.0553510141417913
tokyo_290806_temporal_spatial,290806,3,32,0.889551745713783,0.889551745690529
tokyo_29501_relational_after,29501,1,34,0.945108142928702,0.945108142908183
tokyo_29501_relational_after,29501,2,2,0.0548918570712984,0.0548918570918166
tokyo_29501_semantic,29501,1,34,0.946688289237513,0.946688289215523
tokyo_29501_semantic,29501,2,2,0.0533117107624872,0.053311710784477
tokyo_29501_temporal_spatial,29501,1,34,0.946830146256522,0.9468301462344
tokyo_29501_temporal_spatial,29501,2,2,0.0531698537434777,0.0531698537655996
tokyo_29757_relational_after,29757,1,41,1,1
tokyo_29757_semantic,29757,1,41,1,1
tokyo_29757_temporal_spatial,29757,1,41,1,1
tokyo_29764_relational_after,29764,1,28,1,1
tokyo_29764_semantic,29764,1,28,1,1
tokyo_29764_temporal_spatial,29764,1,28,1,1
tokyo_31204_relational_after,31204,1,24,0.889503129347409,0.889503129328308
tokyo_31204_relational_after,31204,2,3,0.110496870652591,0.110496870671692
tokyo_31204_semantic,31204,1,24,0.887074904274348,0.887074904256378
tokyo_31204_semantic,31204,2,3,0.112925095725652,0.112925095743622
tokyo_31204_temporal_spatial,31204,1,24,0.888874796565565,0.888874796546757
tokyo_31204_temporal_spatial,31204,2,3,0.111125203434435,0.111125203453243
tokyo_32545_relational_after,32545,1,106,1,1
tokyo_32545_semantic,32545,1,106,1,1
tokyo_32545_temporal_spatial,32545,1,106,1,1
tokyo_325605_relational_after,325605,1,80,0.975716170931036,0.975716170901762
tokyo_325605_relational_after,325605,2,2,0.0242838290689641,0.0242838290982377
tokyo_325605_semantic,325605,1,80,0.975546398503795,0.975546398474837
tokyo_325605_semantic,325605,2,2,0.0244536014962049,0.0244536015251624
